ratio_of_positive_carc,number_of_experiments_carc,cas_number,substance_name,use_carc,positive_carc,positive_stringent_carc,negative_carc,negative_stringent_carc,ratio_of_positive_mut,number_of_experiments_mut,use_mut,positive_mut,positive_stringent_mut,negative_mut,negative_stringent_mut,positive,positive_stringent,negative,negative_stringent,use,smiles
,,3155-48-4,"D,L-KAWAIN",,,,,,0.0,1.0,,0.0,0.0,1.0,0.0,0,0,1,0,",",COC1=CC(=O)OC(C1)\C=C\c2ccccc2
,,31551-45-8,"2,7-DINITROFLUORENONE",,,,,,0.875,16.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",[O-][N+](=O)c1ccc2c3ccc(cc3C(=O)c2c1)[N+]([O-])=O
,,31555-54-1,"3,4-DICHLORO-5-DICHLOROMETHYLENE-2-FURANONE",,,,,,1.0,1.0,,1.0,0.0,0.0,0.0,1,0,0,0,",",ClC(Cl)=C1OC(=O)C(=C1Cl)Cl
,,3159-62-4,CALCIUM 12-HYDROXYSTEARATE,,,,,,0.0,10.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",[Ca++].CCCCCCC(O)CCCCCCCCCCC([O-])=O.CCCCCCC(O)CCCCCCCCCCC([O-])=O
,,316-14-3,6-METHYLBENZ[A]ANTHRACENE,,,,,,1.0,4.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",Cc1cc2ccccc2c3cc4ccccc4cc13
,,316-42-7,EMETINE HYDROCHLORIDE,,,,,,0.0,12.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",[Cl-].[Cl-].CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]4NCCc5cc(OC)c(OC)cc45.[H+].[H+]
,,316-49-4,4-METHYLBENZ[A]ANTHRACENE,,,,,,1.0,3.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",Cc1cc2ccccc2c3cc4ccccc4cc13
,,3160-37-0,PIPERONYL ACETONE,,,,,,0.0,12.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",CC(=O)\C=C\c1ccc2OCOc2c1
,,3164-09-8,2-(2-CHLOROPHENYL)BENZOXAZOLE,,,,,,0.0,2.0,,0.0,0.0,1.0,0.0,0,0,1,0,",",Clc1ccccc1c2oc3ccccc3n2
,,31647-36-6,5-METHYLBENZO[A]PYRENE,,,,,,1.0,1.0,,1.0,0.0,0.0,0.0,1,0,0,0,",",Cc1cc2cccc3ccc4c5ccccc5cc1c4c23
,,31688-71-8,9-ACETOXYMETHYL-10-METHYLANTHRACENE,,,,,,1.0,2.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",CC(=O)OCc1c2ccccc2c(C)c3ccccc13
